iter,avg_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_features,max_depth,class_weight,bootstrap
23,0.6471601982770746,100,20,20,0.7,0.3,14.0,balanced_subsample,True
18,0.6306341579998076,100,10,20,0.5,0.7,14.0,balanced_subsample,True
3,0.623512092896747,100,10,20,0.5,0.7,18.0,balanced_subsample,True
19,0.6200256587983723,100,5,10,0.5,0.3,18.0,balanced_subsample,True
22,0.616955305813759,200,20,10,0.5,0.7,10.0,balanced_subsample,True
7,0.6163956459190583,200,20,20,0.7,0.7,14.0,balanced_subsample,True
33,0.614966975499395,100,10,5,0.5,0.3,,balanced_subsample,True
16,0.6114629549040773,100,5,5,0.7,0.3,,balanced_subsample,True
37,0.6106004725004058,300,5,20,0.7,0.7,14.0,balanced_subsample,True
34,0.6099217739839045,200,10,20,0.9,0.3,,balanced_subsample,True
26,0.609668039052976,300,5,20,0.9,0.5,14.0,balanced_subsample,True
28,0.6082042766545434,300,20,5,0.7,0.5,,balanced_subsample,True
29,0.6066468875504312,200,20,10,0.5,0.3,14.0,balanced_subsample,True
25,0.6065872312410276,300,20,20,0.5,0.7,,balanced_subsample,True
20,0.6055833332904141,300,10,20,1.0,0.3,18.0,balanced_subsample,True
38,0.6029313149616793,100,20,20,0.9,0.5,18.0,balanced_subsample,True
4,0.6016388947217642,100,20,5,0.7,0.5,10.0,balanced_subsample,True
31,0.5977282715565365,200,5,5,0.5,0.7,10.0,balanced_subsample,True
13,0.5950327568783619,100,20,10,1.0,sqrt,,balanced_subsample,True
12,0.5942322329802241,200,10,10,0.9,0.5,18.0,balanced_subsample,True
36,0.5909923316670358,200,5,20,0.5,sqrt,18.0,balanced_subsample,True
8,0.5899945218235876,200,20,10,1.0,0.7,14.0,balanced_subsample,True
32,0.5889708493526418,200,10,5,0.9,0.5,18.0,balanced_subsample,True
35,0.5888657941911679,200,20,20,1.0,0.7,14.0,balanced_subsample,True
6,0.5865940266113164,200,20,20,0.7,sqrt,18.0,balanced_subsample,True
1,0.5844301881277915,100,5,5,0.7,0.7,18.0,balanced_subsample,True
17,0.582985523528136,300,5,5,0.7,sqrt,,balanced_subsample,True
39,0.5821311645709475,300,20,10,1.0,0.7,,balanced_subsample,True
14,0.5751899989342726,100,10,5,1.0,0.5,10.0,balanced_subsample,True
10,0.572494172459041,100,20,20,1.0,0.7,18.0,balanced_subsample,True
27,0.5723259637758754,200,5,5,0.7,0.3,10.0,balanced_subsample,True
24,0.5640551617761358,200,10,5,1.0,0.3,10.0,balanced_subsample,True
21,0.5558442175287147,100,5,5,1.0,0.3,6.0,balanced_subsample,True
2,0.5530161084927487,300,5,20,0.5,0.5,6.0,balanced_subsample,True
11,0.5530161084927487,300,20,20,0.5,0.5,6.0,balanced_subsample,True
15,0.5370502856481489,100,5,5,0.7,0.3,6.0,balanced_subsample,True
5,0.5278160967925302,300,10,5,0.7,0.7,6.0,balanced_subsample,True
30,0.49935500382918024,300,5,20,1.0,sqrt,10.0,balanced_subsample,True
9,0.48108768263936286,300,20,5,0.9,sqrt,10.0,balanced_subsample,True
40,0.34013664796871196,200,10,20,0.9,sqrt,6.0,balanced_subsample,True
