stage,n_estimators,avg_precision,min_samples_split,min_samples_leaf,max_samples,max_features,max_depth,class_weight,bootstrap
1,50,0.6608244590822742,50,20,0.5,0.7,14.0,balanced_subsample,True
1,50,0.658832784853093,50,20,0.5,0.7,,balanced_subsample,True
1,50,0.6582042593314227,20,20,0.5,0.7,18.0,balanced_subsample,True
1,50,0.6552993090266923,50,20,0.7,0.7,14.0,balanced_subsample,True
1,50,0.6462313593265008,50,20,0.5,0.7,18.0,balanced_subsample,True
1,50,0.6448266570872309,20,20,0.7,0.7,14.0,balanced_subsample,True
1,50,0.6397416628606629,100,20,0.5,0.5,14.0,balanced_subsample,True
1,50,0.6381720509626952,20,10,0.5,0.7,14.0,balanced_subsample,True
1,50,0.6366517563495794,100,10,0.5,0.5,,balanced_subsample,True
1,50,0.6329032761377564,100,20,0.7,0.5,18.0,balanced_subsample,True
1,50,0.6310502591376583,20,10,0.7,0.7,14.0,balanced_subsample,True
1,50,0.6269965009414232,50,10,0.5,0.7,18.0,balanced_subsample,True
1,50,0.625406303060418,100,20,0.5,0.7,,balanced_subsample,True
1,50,0.624278330973835,50,20,0.7,0.5,14.0,balanced_subsample,True
1,50,0.6233208708308644,20,20,0.7,0.7,,balanced_subsample,True
1,50,0.6219085183294095,20,10,0.7,0.5,18.0,balanced_subsample,True
1,50,0.6200272368443556,100,10,0.7,0.5,14.0,balanced_subsample,True
1,50,0.6199827326818741,50,10,0.7,0.7,18.0,balanced_subsample,True
1,50,0.6185717544694372,100,20,0.7,0.7,,balanced_subsample,True
1,50,0.6184285984915648,20,10,0.7,0.7,18.0,balanced_subsample,True
1,50,0.6124250132501665,50,10,0.5,0.7,,balanced_subsample,True
1,50,0.6097854857713061,50,10,0.7,0.5,,balanced_subsample,True
1,50,0.6085356333242385,20,10,0.5,0.7,,balanced_subsample,True
1,50,0.6071123509018085,100,20,0.7,0.5,14.0,balanced_subsample,True
1,50,0.6058909443029015,50,10,0.5,0.5,,balanced_subsample,True
1,50,0.6050501950953509,100,10,0.5,0.7,14.0,balanced_subsample,True
1,50,0.6032900564629465,50,20,0.7,0.5,18.0,balanced_subsample,True
1,50,0.5970287477466935,100,10,0.7,0.7,,balanced_subsample,True
1,50,0.5942084611388389,100,20,0.7,0.7,14.0,balanced_subsample,True
1,50,0.5887609945343363,100,10,0.5,0.7,,balanced_subsample,True
2,150,0.6643304166751288,50,20,0.5,0.7,,balanced_subsample,True
2,150,0.6639515227254411,20,20,0.5,0.7,18.0,balanced_subsample,True
2,150,0.6621846769471668,50,20,0.5,0.7,14.0,balanced_subsample,True
2,150,0.6596155100939339,20,10,0.5,0.7,14.0,balanced_subsample,True
2,150,0.6588007284271076,50,20,0.5,0.7,18.0,balanced_subsample,True
2,150,0.656001535438088,50,20,0.7,0.7,14.0,balanced_subsample,True
2,150,0.6537303389977227,20,20,0.7,0.7,14.0,balanced_subsample,True
2,150,0.6361470568355353,100,20,0.5,0.5,14.0,balanced_subsample,True
2,150,0.6311096884970699,100,20,0.7,0.5,18.0,balanced_subsample,True
2,150,0.6267202183459033,100,10,0.5,0.5,,balanced_subsample,True
3,400,0.6689614422037214,20,10,0.5,0.7,14.0,balanced_subsample,True
3,400,0.6674342045837917,50,20,0.5,0.7,14.0,balanced_subsample,True
3,400,0.6637236299275372,20,20,0.5,0.7,18.0,balanced_subsample,True
3,400,0.6609211399526037,50,20,0.5,0.7,,balanced_subsample,True
